timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
3034,0.8000,0,3,41
3044,0.8000,0,3,41
3055,0.8000,0,1,41
3065,0.8000,0,1,41
3075,0.9000,0,2,41
3085,0.9000,0,2,41
3095,0.8000,0,0,42
3105,0.8000,0,0,42
3115,0.7000,1,0,43
3125,0.7000,1,0,43
3135,0.7000,1,0,44
3145,0.7000,1,0,44
3155,0.7000,1,1,44
3165,0.7000,1,1,44
3175,0.8000,0,1,44
3186,0.8000,0,1,44
3196,0.8000,0,1,44
3206,0.8000,0,1,44
3216,0.8000,0,1,45
3226,0.8000,0,1,45
3236,0.9500,1,1,45
3246,0.9500,1,1,45
3256,0.9500,1,1,44
3266,0.9500,1,1,44
3276,0.9500,1,2,44
3286,0.9500,1,2,44
3296,0.9500,1,1,45
3306,0.9500,1,1,45
3316,0.9500,1,1,45
3326,0.9500,1,1,45
3337,0.9500,1,2,45
3347,0.9500,1,2,45
3357,0.9500,1,2,46
3367,0.9500,1,2,46
3378,0.9500,1,1,47
3388,0.9500,1,1,47
3398,0.9500,1,1,47
3408,0.9500,1,1,47
3418,0.9500,1,2,47
3430,0.9500,1,2,47
3440,0.7000,1,2,47
3450,0.7000,1,2,47
3460,0.8000,0,1,47
3470,0.8000,0,1,47
3480,0.8000,0,1,47
3490,0.8000,0,1,47
3501,0.8000,0,1,47
3511,0.8000,0,1,47
3521,0.8000,0,1,47
3531,0.8000,0,1,47
3541,0.8000,0,2,47
3551,0.8000,0,2,47
3561,1.0000,0,3,47
3571,1.0000,0,3,47
3581,0.9000,0,1,47
3591,0.9000,0,1,47
3601,0.9000,0,1,48
3611,0.9000,0,1,48
3621,0.8000,0,2,48
3631,0.8000,0,2,48
3641,0.9000,0,3,48
3652,0.9000,0,3,48
3662,0.8000,0,1,48
3672,0.8000,0,1,48
3682,0.8000,0,1,49
3692,0.8000,0,1,49
3702,0.8000,0,1,49
3712,0.8000,0,1,49
3722,0.8000,0,1,49
3732,0.8000,0,1,49
3742,0.8000,0,1,50
3752,0.8000,0,1,50
3762,0.9000,0,2,50
3772,0.9000,0,2,50
3783,0.8000,0,1,50
3793,0.8000,0,1,50
3803,0.8000,0,2,50
3813,0.8000,0,2,50
3824,1.0000,0,3,50
3834,1.0000,0,3,50
3844,0.8000,0,1,50
3854,0.8000,0,1,50
3864,0.8000,0,1,51
3874,0.8000,0,1,51
3884,0.8000,0,1,51
3894,0.8000,0,1,51
3904,0.8000,0,1,51
3914,0.8000,0,1,51
3924,0.8000,0,1,51
3934,0.8000,0,1,51
3944,0.8000,0,1,52
3955,0.8000,0,1,52
3965,0.9000,0,2,52
3975,0.9000,0,2,52
3985,0.8000,0,0,53
3995,0.8000,0,0,53
4005,0.8000,0,1,53
4015,0.8000,0,1,53
4025,0.8000,0,1,54
4035,0.8000,0,1,54
4045,0.7000,1,1,54
4055,0.7000,1,1,54
4065,0.7000,1,1,54
4075,0.7000,1,1,54
4085,0.7000,1,1,54
4096,0.7000,1,1,54
4106,0.7000,1,1,54
4116,0.7000,1,1,54
4126,0.8000,0,1,54
4136,0.8000,0,1,54
4146,0.8000,0,1,54
4156,0.8000,0,1,54
4166,0.9000,0,2,54
4176,0.8000,1,2,54
4186,0.8000,0,0,55
4196,0.8000,0,0,55
4207,0.8000,0,1,55
4217,0.8000,0,1,55
4227,0.8000,0,1,56
4237,0.8000,0,1,56
4247,0.8000,0,1,56
4257,0.8000,0,1,56
4267,0.7000,1,0,57
4277,0.7000,1,0,57
4287,0.7000,1,1,57
4297,0.7000,1,1,57
4307,0.7000,1,1,57
4317,0.7000,1,1,57
4327,0.7000,1,1,57
4337,0.7000,1,1,57
4348,0.8000,0,1,57
4358,0.8000,0,1,57
4368,0.8000,0,1,57
4378,0.7000,1,1,57
4388,0.8000,0,1,57
4398,0.8000,0,1,57
4408,0.8000,0,0,58
4418,0.8000,0,0,58
4428,0.8000,0,1,58
4438,0.8000,0,1,58
4448,0.7000,1,0,59
4458,0.7000,1,0,59
4468,0.8000,0,1,59
4479,0.8000,0,1,59
4489,0.8000,0,1,59
4499,0.8000,0,1,59
4509,0.8000,0,1,59
4519,0.8000,0,1,59
4529,0.8000,0,1,59
4539,0.8000,0,1,59
4549,0.8000,0,1,59
4559,0.8000,0,1,59
4569,0.7000,1,0,60
4579,0.7000,1,0,60
4589,0.9500,1,0,61
4599,0.9500,1,0,61
4610,0.9500,1,0,61
4620,0.9500,1,0,61
4630,0.9500,1,1,61
4640,0.9500,1,1,61
4650,0.9500,1,1,61
4660,0.9500,1,1,61
